source_id	title	url	normalized_url	source_format	source_type	resource_type	publisher	organization_id	collection_hint	evidence_role	topic_tags	audience	language	link_check_status	ingest_status	ingest_priority	source_status	duplicate_group_id	notes	source_context	duplicate_count	duplicate_merged	merged_titles	collection_hints	source_types_seen	resource_types_seen	publishers_seen	organizations_seen	source_contexts	registry_schema_version	registry_role	user_facing_knowledge	recommended_pipeline	dedupe_key
maakondlikud_kojad_saaremaa_puuetega_inimeste_koda	Saaremaa Puuetega Inimeste Koda	https://www.saarekoda.ee/	https://www.saarekoda.ee/	html	organization_profile	organization_page	Maakondlikud kojad	maakondlikud_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""Maakondlikud kojad"", ""puue""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""heading_4"": null, ""line"": 21, ""order"": 11}"	0	False	"[""Saaremaa Puuetega Inimeste Koda""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Maakondlikud kojad""]"	"[""maakondlikud_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""line"": 21, ""order"": 11}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://www.saarekoda.ee/
maakondlikud_kojad_viljandimaa_puuetega_inimeste_noukoda	Viljandimaa Puuetega Inimeste Nõukoda	https://viljandipin.eu/	https://viljandipin.eu/	html	organization_profile	organization_page	Maakondlikud kojad	maakondlikud_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""Maakondlikud kojad"", ""puue""]"	BOTH	et	"[""Search-confirmed""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""heading_4"": null, ""line"": 22, ""order"": 12}"	0	False	"[""Viljandimaa Puuetega Inimeste Nõukoda""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Maakondlikud kojad""]"	"[""maakondlikud_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""line"": 22, ""order"": 12}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://viljandipin.eu/
maakondlikud_kojad_vorumaa_puuetega_inimeste_koda	Võrumaa Puuetega Inimeste Koda	https://www.vorukoda.ee/	https://www.vorukoda.ee/	html	organization_profile	organization_page	Maakondlikud kojad	maakondlikud_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""Maakondlikud kojad"", ""puue""]"	BOTH	et	"[""Search-confirmed""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""heading_4"": null, ""line"": 23, ""order"": 13}"	0	False	"[""Võrumaa Puuetega Inimeste Koda""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Maakondlikud kojad""]"	"[""maakondlikud_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""line"": 23, ""order"": 13}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://www.vorukoda.ee/
maakondlikud_kojad_polvamaa_puuetega_inimeste_koda_kataloogileht	Põlvamaa Puuetega Inimeste Koda (kataloogileht)	https://www.polvakoda.ee/eesti-puuetega-inimeste-liidud-ja-kojad	https://www.polvakoda.ee/eesti-puuetega-inimeste-liidud-ja-kojad	html	organization_profile	organization_page	Maakondlikud kojad	maakondlikud_kojad	organizations	organization_background	"[""Katusorganisatsioonid ja kojad"", ""Maakondlikud kojad"", ""puue""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""heading_4"": null, ""line"": 24, ""order"": 14}"	0	False	"[""Põlvamaa Puuetega Inimeste Koda (kataloogileht)""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Maakondlikud kojad""]"	"[""maakondlikud_kojad""]"	"[{""heading_2"": ""1) Katusorganisatsioonid ja kojad"", ""heading_3"": ""Maakondlikud kojad"", ""line"": 24, ""order"": 14}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://www.polvakoda.ee/eesti-puuetega-inimeste-liidud-ja-kojad
nagemispuue_ja_liitpuue_eesti_pimedate_liit	Eesti Pimedate Liit	https://pimedateliit.ee/	https://pimedateliit.ee/	html	organization_profile	organization_page	Nägemispuue ja liitpuue	nagemispuue_ja_liitpuue	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Nägemispuue ja liitpuue""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""heading_4"": null, ""line"": 29, ""order"": 15}"	0	False	"[""Eesti Pimedate Liit""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Nägemispuue ja liitpuue""]"	"[""nagemispuue_ja_liitpuue""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""line"": 29, ""order"": 15}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://pimedateliit.ee/
nagemispuue_ja_liitpuue_epl_liikmesuhingud	EPL liikmesühingud	https://pimedateliit.ee/liikmesuhingud/	https://pimedateliit.ee/liikmesuhingud	html	organization_profile	organization_page	Nägemispuue ja liitpuue	nagemispuue_ja_liitpuue	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Nägemispuue ja liitpuue""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""heading_4"": null, ""line"": 30, ""order"": 16}"	0	False	"[""EPL liikmesühingud""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Nägemispuue ja liitpuue""]"	"[""nagemispuue_ja_liitpuue""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""line"": 30, ""order"": 16}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://pimedateliit.ee/liikmesuhingud
nagemispuue_ja_liitpuue_pohja_eesti_pimedate_uhing	Põhja-Eesti Pimedate Ühing	https://ppy.ee/	https://ppy.ee/	html	organization_profile	organization_page	Nägemispuue ja liitpuue	nagemispuue_ja_liitpuue	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Nägemispuue ja liitpuue""]"	BOTH	et	"[""Redirect""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""heading_4"": null, ""line"": 31, ""order"": 17}"	0	False	"[""Põhja-Eesti Pimedate Ühing""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Nägemispuue ja liitpuue""]"	"[""nagemispuue_ja_liitpuue""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""line"": 31, ""order"": 17}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://ppy.ee/
nagemispuue_ja_liitpuue_ppu_infoleht_kuukiir	"PPÜ infoleht ""Kuukiir"""	https://ppy.ee/kuukiir/	https://ppy.ee/kuukiir	html	organization_profile	organization_page	Nägemispuue ja liitpuue	nagemispuue_ja_liitpuue	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Nägemispuue ja liitpuue""]"	BOTH	et	"[""Search-confirmed""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""heading_4"": null, ""line"": 32, ""order"": 18}"	0	False	"[""PPÜ infoleht \""Kuukiir\""""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Nägemispuue ja liitpuue""]"	"[""nagemispuue_ja_liitpuue""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""line"": 32, ""order"": 18}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://ppy.ee/kuukiir
nagemispuue_ja_liitpuue_eesti_pimekurtide_tugiliit	Eesti Pimekurtide Tugiliit	https://www.pimekurdid.ee/	https://www.pimekurdid.ee/	html	organization_profile	organization_page	Nägemispuue ja liitpuue	nagemispuue_ja_liitpuue	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Nägemispuue ja liitpuue""]"	BOTH	et	"[""Search-confirmed""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""heading_4"": null, ""line"": 33, ""order"": 19}"	0	False	"[""Eesti Pimekurtide Tugiliit""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Nägemispuue ja liitpuue""]"	"[""nagemispuue_ja_liitpuue""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""line"": 33, ""order"": 19}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://www.pimekurdid.ee/
nagemispuue_ja_liitpuue_pimedate_raamatukogu_rara	Pimedate raamatukogu (RaRa)	https://www.rara.ee/meist/rara/pimedate-raamatukogu/	https://www.rara.ee/meist/rara/pimedate-raamatukogu	html	organization_profile	organization_page	Nägemispuue ja liitpuue	nagemispuue_ja_liitpuue	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Nägemispuue ja liitpuue""]"	BOTH	et	"[""OK""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""heading_4"": null, ""line"": 34, ""order"": 20}"	0	False	"[""Pimedate raamatukogu (RaRa)""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Nägemispuue ja liitpuue""]"	"[""nagemispuue_ja_liitpuue""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""line"": 34, ""order"": 20}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://www.rara.ee/meist/rara/pimedate-raamatukogu
nagemispuue_ja_liitpuue_tallinna_noustamine_nagemispuudega_inimesele	Tallinna nõustamine nägemispuudega inimesele	https://www.tallinn.ee/et/noustamine-nagemispuudega-inimesele	https://www.tallinn.ee/et/noustamine-nagemispuudega-inimesele	html	organization_profile	organization_page	Nägemispuue ja liitpuue	nagemispuue_ja_liitpuue	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Nägemispuue ja liitpuue""]"	BOTH	et	"[""Search-confirmed""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""heading_4"": null, ""line"": 35, ""order"": 21}"	0	False	"[""Tallinna nõustamine nägemispuudega inimesele""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Nägemispuue ja liitpuue""]"	"[""nagemispuue_ja_liitpuue""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""line"": 35, ""order"": 21}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://www.tallinn.ee/et/noustamine-nagemispuudega-inimesele
nagemispuue_ja_liitpuue_nirk	NIRK	https://nirkkeskus.ee/	https://nirkkeskus.ee/	html	organization_profile	organization_page	Nägemispuue ja liitpuue	nagemispuue_ja_liitpuue	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Nägemispuue ja liitpuue""]"	BOTH	et	"[""Search-confirmed""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""heading_4"": null, ""line"": 36, ""order"": 22}"	0	False	"[""NIRK""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Nägemispuue ja liitpuue""]"	"[""nagemispuue_ja_liitpuue""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""line"": 36, ""order"": 22}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://nirkkeskus.ee/
nagemispuue_ja_liitpuue_epl_teemaleht_nagemispuue	EPL teemaleht „Nägemispuue”	https://pimedateliit.ee/nagemispuue/	https://pimedateliit.ee/nagemispuue	html	organization_profile	organization_page	Nägemispuue ja liitpuue	nagemispuue_ja_liitpuue	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Nägemispuue ja liitpuue"", ""puue""]"	BOTH	et	"[""Search-confirmed""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""heading_4"": null, ""line"": 37, ""order"": 23}"	0	False	"[""EPL teemaleht „Nägemispuue”""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Nägemispuue ja liitpuue""]"	"[""nagemispuue_ja_liitpuue""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""line"": 37, ""order"": 23}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://pimedateliit.ee/nagemispuue
nagemispuue_ja_liitpuue_sotsiaalministeeriumi_kompetentsikeskus_eesti_pimedate_liit	Sotsiaalministeeriumi kompetentsikeskus: Eesti Pimedate Liit	https://kompetentsikeskus.sm.ee/et/vordsed-voimalused/ligipaasetavus/tahad-teada-rohkem/infoportaalid-ja-vorgustikud/eesti-pimedate-liit	https://kompetentsikeskus.sm.ee/et/vordsed-voimalused/ligipaasetavus/tahad-teada-rohkem/infoportaalid-ja-vorgustikud/eesti-pimedate-liit	html	organization_profile	organization_page	Nägemispuue ja liitpuue	nagemispuue_ja_liitpuue	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Nägemispuue ja liitpuue""]"	BOTH	et	"[""Search-confirmed""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""heading_4"": null, ""line"": 38, ""order"": 24}"	0	False	"[""Sotsiaalministeeriumi kompetentsikeskus: Eesti Pimedate Liit""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Nägemispuue ja liitpuue""]"	"[""nagemispuue_ja_liitpuue""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Nägemispuue ja liitpuue"", ""line"": 38, ""order"": 24}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://kompetentsikeskus.sm.ee/et/vordsed-voimalused/ligipaasetavus/tahad-teada-rohkem/infoportaalid-ja-vorgustikud/eesti-pimedate-liit
kuulmispuue_kurtus_ja_viipekeel_eesti_kurtide_liit	Eesti Kurtide Liit	https://www.ead.ee/	https://www.ead.ee/	html	organization_profile	organization_page	Kuulmispuue, kurtus ja viipekeel	kuulmispuue_kurtus_ja_viipekeel	organizations	organization_background	"[""Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""Kuulmispuue, kurtus ja viipekeel""]"	BOTH	et	"[""Search-confirmed""]"	referenced_only	low	known			"{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Kuulmispuue, kurtus ja viipekeel"", ""heading_4"": null, ""line"": 41, ""order"": 25}"	0	False	"[""Eesti Kurtide Liit""]"	"[""organizations""]"	"[""organization_profile""]"	"[""organization_page""]"	"[""Kuulmispuue, kurtus ja viipekeel""]"	"[""kuulmispuue_kurtus_ja_viipekeel""]"	"[{""heading_2"": ""2) Puudespetsiifilised organisatsioonid ja tugivõrgustikud"", ""heading_3"": ""Kuulmispuue, kurtus ja viipekeel"", ""line"": 41, ""order"": 25}]"	source-master-v1	dedupe_seed_and_ingest_planning	False	organization_collection_agent	https://www.ead.ee/
