"surface_type","router","route_pattern","file","route_group","dynamic_params","premap_status"
"api-route","app-router","/api/admin/licence-alarms","app/api/admin/licence-alarms/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/mentoring","app/api/admin/mentoring/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/mentoring/:profileId","app/api/admin/mentoring/[profileId]/route.js","admin","profileId","inventory_only"
"api-route","app-router","/api/admin/mentoring/audit","app/api/admin/mentoring/audit/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/mentoring/external","app/api/admin/mentoring/external/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/notifications","app/api/admin/notifications/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/contact-registry","app/api/admin/rag/contact-registry/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/document-status/:docId","app/api/admin/rag/document-status/[docId]/route.js","admin","docId","inventory_only"
"api-route","app-router","/api/admin/rag/kov","app/api/admin/rag/kov/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/kov-source-monitor","app/api/admin/rag/kov-source-monitor/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug","app/api/admin/rag/kov/[slug]/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug/files","app/api/admin/rag/kov/[slug]/files/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug/files/:role","app/api/admin/rag/kov/[slug]/files/[role]/route.js","admin","slug|role","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug/files/:role/download","app/api/admin/rag/kov/[slug]/files/[role]/download/route.js","admin","slug|role","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug/ingest","app/api/admin/rag/kov/[slug]/ingest/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug/ingest-rt","app/api/admin/rag/kov/[slug]/ingest-rt/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug/light-check","app/api/admin/rag/kov/[slug]/light-check/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug/light-check-rt","app/api/admin/rag/kov/[slug]/light-check-rt/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug/reset-rag-state","app/api/admin/rag/kov/[slug]/reset-rag-state/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug/revalidate","app/api/admin/rag/kov/[slug]/revalidate/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/kov/:slug/revalidate-rt","app/api/admin/rag/kov/[slug]/revalidate-rt/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/kov/ingest","app/api/admin/rag/kov/ingest/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/kov/ingest-rt","app/api/admin/rag/kov/ingest-rt/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/kov/light-check","app/api/admin/rag/kov/light-check/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/kov/light-check-rt","app/api/admin/rag/kov/light-check-rt/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/kov/revalidate","app/api/admin/rag/kov/revalidate/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/kov/revalidate-rt","app/api/admin/rag/kov/revalidate-rt/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/master-sources","app/api/admin/rag/master-sources/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/national-rt","app/api/admin/rag/national-rt/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/organizations","app/api/admin/rag/organizations/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/organizations/:slug","app/api/admin/rag/organizations/[slug]/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/organizations/:slug/files","app/api/admin/rag/organizations/[slug]/files/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/organizations/:slug/files/:fileId","app/api/admin/rag/organizations/[slug]/files/[fileId]/route.js","admin","slug|fileId","inventory_only"
"api-route","app-router","/api/admin/rag/organizations/:slug/files/:fileId/download","app/api/admin/rag/organizations/[slug]/files/[fileId]/download/route.js","admin","slug|fileId","inventory_only"
"api-route","app-router","/api/admin/rag/organizations/:slug/ingest","app/api/admin/rag/organizations/[slug]/ingest/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/organizations/:slug/revalidate","app/api/admin/rag/organizations/[slug]/revalidate/route.js","admin","slug","inventory_only"
"api-route","app-router","/api/admin/rag/organizations/ingest","app/api/admin/rag/organizations/ingest/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/rt-registry","app/api/admin/rag/rt-registry/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/source-packages","app/api/admin/rag/source-packages/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/rag/source-packages/:id","app/api/admin/rag/source-packages/[id]/route.js","admin","id","inventory_only"
"api-route","app-router","/api/admin/rag/source-packages/:id/review","app/api/admin/rag/source-packages/[id]/review/route.js","admin","id","inventory_only"
"api-route","app-router","/api/admin/retrieval-stats","app/api/admin/retrieval-stats/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/service-availability","app/api/admin/service-availability/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/service-licence-binding","app/api/admin/service-licence-binding/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/source-feedback","app/api/admin/source-feedback/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/source-feedback/:id","app/api/admin/source-feedback/[id]/route.js","admin","id","inventory_only"
"api-route","app-router","/api/admin/supervisor-grants","app/api/admin/supervisor-grants/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/supervisor-grants/:id/revoke","app/api/admin/supervisor-grants/[id]/revoke/route.js","admin","id","inventory_only"
"api-route","app-router","/api/admin/urgent-desks","app/api/admin/urgent-desks/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/urgent-desks/:deskId","app/api/admin/urgent-desks/[deskId]/route.js","admin","deskId","inventory_only"
"api-route","app-router","/api/admin/urgent-desks/:deskId/activation","app/api/admin/urgent-desks/[deskId]/activation/route.js","admin","deskId","inventory_only"
"api-route","app-router","/api/admin/urgent-desks/:deskId/members","app/api/admin/urgent-desks/[deskId]/members/route.js","admin","deskId","inventory_only"
"api-route","app-router","/api/admin/urgent-desks/:deskId/verify","app/api/admin/urgent-desks/[deskId]/verify/route.js","admin","deskId","inventory_only"
"api-route","app-router","/api/admin/urgent-desks/aggregate","app/api/admin/urgent-desks/aggregate/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/usage/deletion-jobs","app/api/admin/usage/deletion-jobs/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/usage/overrides","app/api/admin/usage/overrides/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/usage/plans","app/api/admin/usage/plans/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/usage/users","app/api/admin/usage/users/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/wellbeing/aggregate","app/api/admin/wellbeing/aggregate/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/wellbeing/pilots","app/api/admin/wellbeing/pilots/route.js","admin","","inventory_only"
"api-route","app-router","/api/admin/wellbeing/pilots/:id/viewers","app/api/admin/wellbeing/pilots/[id]/viewers/route.js","admin","id","inventory_only"
"api-route","app-router","/api/auth/login-confirm","app/api/auth/login-confirm/route.js","auth","","inventory_only"
"api-route","app-router","/api/auth/login-resend-otp","app/api/auth/login-resend-otp/route.js","auth","","inventory_only"
"api-route","app-router","/api/auth/login-status","app/api/auth/login-status/route.js","auth","","inventory_only"
"api-route","app-router","/api/auth/login-step1","app/api/auth/login-step1/route.js","auth","","inventory_only"
"api-route","app-router","/api/auth/login-step2","app/api/auth/login-step2/route.js","auth","","inventory_only"
"api-route","app-router","/api/auth/password/reset","app/api/auth/password/reset/route.js","auth","","inventory_only"
"api-route","app-router","/api/casework/cases","app/api/casework/cases/route.js","casework","","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId","app/api/casework/cases/[caseId]/route.js","casework","caseId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/client-reference","app/api/casework/cases/[caseId]/client-reference/route.js","casework","caseId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/items","app/api/casework/cases/[caseId]/items/route.js","casework","caseId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/items/:itemId","app/api/casework/cases/[caseId]/items/[itemId]/route.js","casework","caseId|itemId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-notes","app/api/casework/cases/[caseId]/meeting-notes/route.js","casework","caseId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-notes/:noteId","app/api/casework/cases/[caseId]/meeting-notes/[noteId]/route.js","casework","caseId|noteId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-notes/:noteId/entries","app/api/casework/cases/[caseId]/meeting-notes/[noteId]/entries/route.js","casework","caseId|noteId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-notes/:noteId/entries/:entryId","app/api/casework/cases/[caseId]/meeting-notes/[noteId]/entries/[entryId]/route.js","casework","caseId|noteId|entryId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-preps","app/api/casework/cases/[caseId]/meeting-preps/route.js","casework","caseId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-preps/:prepId","app/api/casework/cases/[caseId]/meeting-preps/[prepId]/route.js","casework","caseId|prepId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-preps/:prepId/fields","app/api/casework/cases/[caseId]/meeting-preps/[prepId]/fields/route.js","casework","caseId|prepId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-preps/:prepId/fields/:fieldKey/confirm-provenance","app/api/casework/cases/[caseId]/meeting-preps/[prepId]/fields/[fieldKey]/confirm-provenance/route.js","casework","caseId|prepId|fieldKey","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-preps/:prepId/questions","app/api/casework/cases/[caseId]/meeting-preps/[prepId]/questions/route.js","casework","caseId|prepId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-preps/:prepId/questions/:questionId","app/api/casework/cases/[caseId]/meeting-preps/[prepId]/questions/[questionId]/route.js","casework","caseId|prepId|questionId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/meeting-preps/:prepId/questions/:questionId/confirm-provenance","app/api/casework/cases/[caseId]/meeting-preps/[prepId]/questions/[questionId]/confirm-provenance/route.js","casework","caseId|prepId|questionId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/missing-info","app/api/casework/cases/[caseId]/missing-info/route.js","casework","caseId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/missing-info/:itemId","app/api/casework/cases/[caseId]/missing-info/[itemId]/route.js","casework","caseId|itemId","inventory_only"
"api-route","app-router","/api/casework/cases/:caseId/retention","app/api/casework/cases/[caseId]/retention/route.js","casework","caseId","inventory_only"
"api-route","app-router","/api/casework/workbench","app/api/casework/workbench/route.js","casework","","inventory_only"
"api-route","app-router","/api/chat","app/api/chat/route.js","chat","","inventory_only"
"api-route","app-router","/api/chat/analyze-file","app/api/chat/analyze-file/route.js","chat","","inventory_only"
"api-route","app-router","/api/chat/analyze-usage","app/api/chat/analyze-usage/route.js","chat","","inventory_only"
"api-route","app-router","/api/chat/conversations","app/api/chat/conversations/route.js","chat","","inventory_only"
"api-route","app-router","/api/chat/conversations/:id","app/api/chat/conversations/[id]/route.js","chat","id","inventory_only"
"api-route","app-router","/api/chat/conversations/:id/messages","app/api/chat/conversations/[id]/messages/route.js","chat","id","inventory_only"
"api-route","app-router","/api/chat/export","app/api/chat/export/route.js","chat","","inventory_only"
"api-route","app-router","/api/chat/run","app/api/chat/run/route.js","chat","","inventory_only"
"api-route","app-router","/api/covision","app/api/covision/route.js","covision","","inventory_only"
"api-route","app-router","/api/covision/:id","app/api/covision/[id]/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/:id/calls","app/api/covision/[id]/calls/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/:id/calls/:callSessionId/mute","app/api/covision/[id]/calls/[callSessionId]/mute/route.js","covision","id|callSessionId","inventory_only"
"api-route","app-router","/api/covision/:id/calls/:callSessionId/speak-requests","app/api/covision/[id]/calls/[callSessionId]/speak-requests/route.js","covision","id|callSessionId","inventory_only"
"api-route","app-router","/api/covision/:id/calls/:callSessionId/speak-requests/:requestId/resolve","app/api/covision/[id]/calls/[callSessionId]/speak-requests/[requestId]/resolve/route.js","covision","id|callSessionId|requestId","inventory_only"
"api-route","app-router","/api/covision/:id/calls/:callSessionId/speak-requests/me","app/api/covision/[id]/calls/[callSessionId]/speak-requests/me/route.js","covision","id|callSessionId","inventory_only"
"api-route","app-router","/api/covision/:id/calls/end","app/api/covision/[id]/calls/end/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/:id/calls/join","app/api/covision/[id]/calls/join/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/:id/calls/leave","app/api/covision/[id]/calls/leave/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/:id/calls/start","app/api/covision/[id]/calls/start/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/:id/close","app/api/covision/[id]/close/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/:id/messages","app/api/covision/[id]/messages/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/:id/session","app/api/covision/[id]/session/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/:id/session/actions","app/api/covision/[id]/session/actions/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/:id/summary","app/api/covision/[id]/summary/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/assist","app/api/covision/assist/route.js","covision","","inventory_only"
"api-route","app-router","/api/covision/completed","app/api/covision/completed/route.js","covision","","inventory_only"
"api-route","app-router","/api/covision/completed/:id","app/api/covision/completed/[id]/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/completed/:id/archive","app/api/covision/completed/[id]/archive/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/completed/:id/decision","app/api/covision/completed/[id]/decision/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/completed/:id/follow-up","app/api/covision/completed/[id]/follow-up/route.js","covision","id","inventory_only"
"api-route","app-router","/api/covision/effective-practices","app/api/covision/effective-practices/route.js","covision","","inventory_only"
"api-route","app-router","/api/covision/effective-practices/:id","app/api/covision/effective-practices/[id]/route.js","covision","id","inventory_only"
"api-route","app-router","/api/data-export","app/api/data-export/route.js","data-export","","inventory_only"
"api-route","app-router","/api/data-export/:id","app/api/data-export/[id]/route.js","data-export","id","inventory_only"
"api-route","app-router","/api/data-export/:id/download","app/api/data-export/[id]/download/route.js","data-export","id","inventory_only"
"api-route","app-router","/api/documents","app/api/documents/route.js","documents","","inventory_only"
"api-route","app-router","/api/documents/:id","app/api/documents/[id]/route.js","documents","id","inventory_only"
"api-route","app-router","/api/documents/:id/audio-select","app/api/documents/[id]/audio-select/route.js","documents","id","inventory_only"
"api-route","app-router","/api/documents/:id/download","app/api/documents/[id]/download/route.js","documents","id","inventory_only"
"api-route","app-router","/api/documents/:id/summary","app/api/documents/[id]/summary/route.js","documents","id","inventory_only"
"api-route","app-router","/api/documents/:id/transcribe","app/api/documents/[id]/transcribe/route.js","documents","id","inventory_only"
"api-route","app-router","/api/documents/analyses","app/api/documents/analyses/route.js","documents","","inventory_only"
"api-route","app-router","/api/documents/analyses/:id","app/api/documents/analyses/[id]/route.js","documents","id","inventory_only"
"api-route","app-router","/api/documents/artifacts","app/api/documents/artifacts/route.js","documents","","inventory_only"
"api-route","app-router","/api/documents/artifacts/:id","app/api/documents/artifacts/[id]/route.js","documents","id","inventory_only"
"api-route","app-router","/api/documents/artifacts/:id/approve","app/api/documents/artifacts/[id]/approve/route.js","documents","id","inventory_only"
"api-route","app-router","/api/documents/artifacts/:id/download","app/api/documents/artifacts/[id]/download/route.js","documents","id","inventory_only"
"api-route","app-router","/api/documents/artifacts/generate","app/api/documents/artifacts/generate/route.js","documents","","inventory_only"
"api-route","app-router","/api/documents/artifacts/refine","app/api/documents/artifacts/refine/route.js","documents","","inventory_only"
"api-route","app-router","/api/documents/audio-sources","app/api/documents/audio-sources/route.js","documents","","inventory_only"
"api-route","app-router","/api/documents/meeting-summary/jobs","app/api/documents/meeting-summary/jobs/route.js","documents","","inventory_only"
"api-route","app-router","/api/documents/meeting-summary/jobs/:id","app/api/documents/meeting-summary/jobs/[id]/route.js","documents","id","inventory_only"
"api-route","app-router","/api/effective-practices","app/api/effective-practices/route.js","effective-practices","","inventory_only"
"api-route","app-router","/api/effective-practices/:id","app/api/effective-practices/[id]/route.js","effective-practices","id","inventory_only"
"api-route","app-router","/api/effective-practices/:id/actions","app/api/effective-practices/[id]/actions/route.js","effective-practices","id","inventory_only"
"api-route","app-router","/api/effective-practices/:id/applications","app/api/effective-practices/[id]/applications/route.js","effective-practices","id","inventory_only"
"api-route","app-router","/api/effective-practices/applications/:id/actions","app/api/effective-practices/applications/[id]/actions/route.js","effective-practices","id","inventory_only"
"api-route","app-router","/api/effective-practices/capabilities","app/api/effective-practices/capabilities/route.js","effective-practices","","inventory_only"
"api-route","app-router","/api/field/visits","app/api/field/visits/route.js","field","","inventory_only"
"api-route","app-router","/api/field/visits/:id","app/api/field/visits/[id]/route.js","field","id","inventory_only"
"api-route","app-router","/api/field/visits/:id/attachments/:clientItemId","app/api/field/visits/[id]/attachments/[clientItemId]/route.js","field","id|clientItemId","inventory_only"
"api-route","app-router","/api/field/visits/:id/attachments/:clientItemId/ocr","app/api/field/visits/[id]/attachments/[clientItemId]/ocr/route.js","field","id|clientItemId","inventory_only"
"api-route","app-router","/api/field/visits/:id/handover","app/api/field/visits/[id]/handover/route.js","field","id","inventory_only"
"api-route","app-router","/api/field/visits/:id/items/:clientItemId","app/api/field/visits/[id]/items/[clientItemId]/route.js","field","id|clientItemId","inventory_only"
"api-route","app-router","/api/framework-acceptances/worker","app/api/framework-acceptances/worker/route.js","framework-acceptances","","inventory_only"
"api-route","app-router","/api/help/listings","app/api/help/listings/route.js","help","","inventory_only"
"api-route","app-router","/api/help/listings/:kind/:id","app/api/help/listings/[kind]/[id]/route.js","help","kind|id","inventory_only"
"api-route","app-router","/api/help/matches","app/api/help/matches/route.js","help","","inventory_only"
"api-route","app-router","/api/help/matches/:matchId/decision","app/api/help/matches/[matchId]/decision/route.js","help","matchId","inventory_only"
"api-route","app-router","/api/internal/rag-cost-usage","app/api/internal/rag-cost-usage/route.js","internal","","inventory_only"
"api-route","app-router","/api/internal/retention/cleanup","app/api/internal/retention/cleanup/route.js","internal","","inventory_only"
"api-route","app-router","/api/invites","app/api/invites/route.js","invites","","inventory_only"
"api-route","app-router","/api/invites/:id/accept","app/api/invites/[id]/accept/route.js","invites","id","inventory_only"
"api-route","app-router","/api/invites/:id/resend","app/api/invites/[id]/resend/route.js","invites","id","inventory_only"
"api-route","app-router","/api/invites/:id/revoke","app/api/invites/[id]/revoke/route.js","invites","id","inventory_only"
"api-route","app-router","/api/invites/pending","app/api/invites/pending/route.js","invites","","inventory_only"
"api-route","app-router","/api/invites/sponsored/callback","app/api/invites/sponsored/callback/route.js","invites","","inventory_only"
"api-route","app-router","/api/invites/sponsored/init","app/api/invites/sponsored/init/route.js","invites","","inventory_only"
"api-route","app-router","/api/jobs/data-exports","app/api/jobs/data-exports/route.js","jobs","","inventory_only"
"api-route","app-router","/api/jobs/notifications","app/api/jobs/notifications/route.js","jobs","","inventory_only"
"api-route","app-router","/api/jobs/payment-emails","app/api/jobs/payment-emails/route.js","jobs","","inventory_only"
"api-route","app-router","/api/jobs/practice-reviews","app/api/jobs/practice-reviews/route.js","jobs","","inventory_only"
"api-route","app-router","/api/jobs/subscription-reconcile","app/api/jobs/subscription-reconcile/route.js","jobs","","inventory_only"
"api-route","app-router","/api/jobs/subscription-renewals","app/api/jobs/subscription-renewals/route.js","jobs","","inventory_only"
"api-route","app-router","/api/jobs/usage-reservation-reaper","app/api/jobs/usage-reservation-reaper/route.js","jobs","","inventory_only"
"api-route","app-router","/api/journeys","app/api/journeys/route.js","journeys","","inventory_only"
"api-route","app-router","/api/journeys/:id","app/api/journeys/[id]/route.js","journeys","id","inventory_only"
"api-route","app-router","/api/journeys/:id/pre-inquiry-draft","app/api/journeys/[id]/pre-inquiry-draft/route.js","journeys","id","inventory_only"
"api-route","app-router","/api/journeys/draft","app/api/journeys/draft/route.js","journeys","","inventory_only"
"api-route","app-router","/api/materials","app/api/materials/route.js","materials","","inventory_only"
"api-route","app-router","/api/materials/:id","app/api/materials/[id]/route.js","materials","id","inventory_only"
"api-route","app-router","/api/materials/:id/download","app/api/materials/[id]/download/route.js","materials","id","inventory_only"
"api-route","app-router","/api/me/usage","app/api/me/usage/route.js","me","","inventory_only"
"api-route","app-router","/api/mentoring/catalog","app/api/mentoring/catalog/route.js","mentoring","","inventory_only"
"api-route","app-router","/api/mentoring/catalog/:profileId","app/api/mentoring/catalog/[profileId]/route.js","mentoring","profileId","inventory_only"
"api-route","app-router","/api/mentoring/notes/:noteId","app/api/mentoring/notes/[noteId]/route.js","mentoring","noteId","inventory_only"
"api-route","app-router","/api/mentoring/overview","app/api/mentoring/overview/route.js","mentoring","","inventory_only"
"api-route","app-router","/api/mentoring/profile","app/api/mentoring/profile/route.js","mentoring","","inventory_only"
"api-route","app-router","/api/mentoring/relations/:relationId","app/api/mentoring/relations/[relationId]/route.js","mentoring","relationId","inventory_only"
"api-route","app-router","/api/mentoring/relations/:relationId/agreement","app/api/mentoring/relations/[relationId]/agreement/route.js","mentoring","relationId","inventory_only"
"api-route","app-router","/api/mentoring/relations/:relationId/meetings","app/api/mentoring/relations/[relationId]/meetings/route.js","mentoring","relationId","inventory_only"
"api-route","app-router","/api/mentoring/relations/:relationId/meetings/:meetingId","app/api/mentoring/relations/[relationId]/meetings/[meetingId]/route.js","mentoring","relationId|meetingId","inventory_only"
"api-route","app-router","/api/mentoring/relations/:relationId/notes","app/api/mentoring/relations/[relationId]/notes/route.js","mentoring","relationId","inventory_only"
"api-route","app-router","/api/mentoring/relations/:relationId/preparation","app/api/mentoring/relations/[relationId]/preparation/route.js","mentoring","relationId","inventory_only"
"api-route","app-router","/api/mentoring/relations/:relationId/summaries","app/api/mentoring/relations/[relationId]/summaries/route.js","mentoring","relationId","inventory_only"
"api-route","app-router","/api/mentoring/relations/:relationId/summaries/:summaryId","app/api/mentoring/relations/[relationId]/summaries/[summaryId]/route.js","mentoring","relationId|summaryId","inventory_only"
"api-route","app-router","/api/mentoring/requests","app/api/mentoring/requests/route.js","mentoring","","inventory_only"
"api-route","app-router","/api/mentoring/requests/:requestId","app/api/mentoring/requests/[requestId]/route.js","mentoring","requestId","inventory_only"
"api-route","app-router","/api/my-sharings","app/api/my-sharings/route.js","my-sharings","","inventory_only"
"api-route","app-router","/api/network-shares","app/api/network-shares/route.js","network-shares","","inventory_only"
"api-route","app-router","/api/network-shares/:shareId","app/api/network-shares/[shareId]/route.js","network-shares","shareId","inventory_only"
"api-route","app-router","/api/network-shares/:shareId/attest","app/api/network-shares/[shareId]/attest/route.js","network-shares","shareId","inventory_only"
"api-route","app-router","/api/network-shares/:shareId/decision","app/api/network-shares/[shareId]/decision/route.js","network-shares","shareId","inventory_only"
"api-route","app-router","/api/network-shares/:shareId/open","app/api/network-shares/[shareId]/open/route.js","network-shares","shareId","inventory_only"
"api-route","app-router","/api/network-shares/:shareId/recall","app/api/network-shares/[shareId]/recall/route.js","network-shares","shareId","inventory_only"
"api-route","app-router","/api/network-shares/:shareId/send","app/api/network-shares/[shareId]/send/route.js","network-shares","shareId","inventory_only"
"api-route","app-router","/api/network-shares/:shareId/submit","app/api/network-shares/[shareId]/submit/route.js","network-shares","shareId","inventory_only"
"api-route","app-router","/api/notifications","app/api/notifications/route.js","notifications","","inventory_only"
"api-route","app-router","/api/notifications/preferences","app/api/notifications/preferences/route.js","notifications","","inventory_only"
"api-route","app-router","/api/org","app/api/org/route.js","org","","inventory_only"
"api-route","app-router","/api/org/:orgId","app/api/org/[orgId]/route.js","org","orgId","inventory_only"
"api-route","app-router","/api/org/:orgId/aruanded","app/api/org/[orgId]/aruanded/route.js","org","orgId","inventory_only"
"api-route","app-router","/api/org/:orgId/aruanded/:shareId","app/api/org/[orgId]/aruanded/[shareId]/route.js","org","orgId|shareId","inventory_only"
"api-route","app-router","/api/org/:orgId/assignments/:assignmentId","app/api/org/[orgId]/assignments/[assignmentId]/route.js","org","orgId|assignmentId","inventory_only"
"api-route","app-router","/api/org/:orgId/audit","app/api/org/[orgId]/audit/route.js","org","orgId","inventory_only"
"api-route","app-router","/api/org/:orgId/eksport","app/api/org/[orgId]/eksport/route.js","org","orgId","inventory_only"
"api-route","app-router","/api/org/:orgId/graafik","app/api/org/[orgId]/graafik/route.js","org","orgId","inventory_only"
"api-route","app-router","/api/org/:orgId/inbox","app/api/org/[orgId]/inbox/route.js","org","orgId","inventory_only"
"api-route","app-router","/api/org/:orgId/inbox/:itemId","app/api/org/[orgId]/inbox/[itemId]/route.js","org","orgId|itemId","inventory_only"
