"route_pattern","page_file","feature_group","candidate_function_scope","mapping_status","sol_verification"
"/org","app/org/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId","app/org/[orgId]/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/aruanded","app/org/[orgId]/aruanded/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/arveldus","app/org/[orgId]/arveldus/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/audit","app/org/[orgId]/audit/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/eksport","app/org/[orgId]/eksport/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/graafik","app/org/[orgId]/graafik/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/kutsed","app/org/[orgId]/kutsed/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/liikmed","app/org/[orgId]/liikmed/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/seaded","app/org/[orgId]/seaded/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/struktuur","app/org/[orgId]/struktuur/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/teenusprofiil","app/org/[orgId]/teenusprofiil/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/tugi","app/org/[orgId]/tugi/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/vastuvott","app/org/[orgId]/vastuvott/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/:orgId/vastuvott/:itemId","app/org/[orgId]/vastuvott/[itemId]/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/liitu","app/org/liitu/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/toetus","app/org/toetus/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/org/vastuvott/:itemId","app/org/vastuvott/[itemId]/page.jsx","organisatsioon","organisatsiooni töölaud, liikmed, vastuvõtt, aruanded ja teenusprofiil","candidate_from_route","not_source_verified"
"/otsi","app/otsi/page.jsx","otsing","platvormisisene otsing","candidate_from_route","not_source_verified"
"/hinnastus","app/hinnastus/page.jsx","paketid ja toetused","hinnastus, tellimus, toetused ja võimalused","candidate_from_route","not_source_verified"
"/tellimus","app/tellimus/page.js","paketid ja toetused","hinnastus, tellimus, toetused ja võimalused","candidate_from_route","not_source_verified"
"/toimetulekutoetus","app/toimetulekutoetus/page.jsx","paketid ja toetused","hinnastus, tellimus, toetused ja võimalused","candidate_from_route","not_source_verified"
"/voimalused","app/voimalused/page.jsx","paketid ja toetused","hinnastus, tellimus, toetused ja võimalused","candidate_from_route","not_source_verified"
"/room/:roomId","app/room/[roomId]/page.jsx","ruumid ja koostöö","koostööruumid, liikmed, sõnumid ja kõned","candidate_from_route","not_source_verified"
"/rooms","app/rooms/page.js","ruumid ja koostöö","koostööruumid, liikmed, sõnumid ja kõned","candidate_from_route","not_source_verified"
"/ruum","app/ruum/page.js","ruumid ja koostöö","koostööruumid, liikmed, sõnumid ja kõned","candidate_from_route","not_source_verified"
"/supervisioon","app/supervisioon/page.jsx","supervisioon","supervisiooni protsess, kohtumised, jagamine ja väljundid","candidate_from_route","not_source_verified"
"/supervisioon/:id","app/supervisioon/[id]/page.jsx","supervisioon","supervisiooni protsess, kohtumised, jagamine ja väljundid","candidate_from_route","not_source_verified"
"/supervisioon/:id/jaga","app/supervisioon/[id]/jaga/page.jsx","supervisioon","supervisiooni protsess, kohtumised, jagamine ja väljundid","candidate_from_route","not_source_verified"
"/supervisioon/:id/sulge","app/supervisioon/[id]/sulge/page.jsx","supervisioon","supervisiooni protsess, kohtumised, jagamine ja väljundid","candidate_from_route","not_source_verified"
"/supervisioon/uus","app/supervisioon/uus/page.jsx","supervisioon","supervisiooni protsess, kohtumised, jagamine ja väljundid","candidate_from_route","not_source_verified"
"/supervisioon/valjundid","app/supervisioon/valjundid/page.jsx","supervisioon","supervisiooni protsess, kohtumised, jagamine ja väljundid","candidate_from_route","not_source_verified"
"/supervisioon/valjundid/:outcomeId","app/supervisioon/valjundid/[outcomeId]/page.jsx","supervisioon","supervisiooni protsess, kohtumised, jagamine ja väljundid","candidate_from_route","not_source_verified"
"/materjalid","app/materjalid/page.js","teadmised ja praktika","materjalide, praktikate, teemade ja refleksiooni töövood","candidate_from_route","not_source_verified"
"/parimad-praktikad","app/parimad-praktikad/page.jsx","teadmised ja praktika","materjalide, praktikate, teemade ja refleksiooni töövood","candidate_from_route","not_source_verified"
"/refleksioon","app/refleksioon/page.jsx","teadmised ja praktika","materjalide, praktikate, teemade ja refleksiooni töövood","candidate_from_route","not_source_verified"
"/teemaseemned","app/teemaseemned/page.jsx","teadmised ja praktika","materjalide, praktikate, teemade ja refleksiooni töövood","candidate_from_route","not_source_verified"
"/tooalase-kasutuse-raamistik","app/tooalase-kasutuse-raamistik/page.jsx","teadmised ja praktika","materjalide, praktikate, teemade ja refleksiooni töövood","candidate_from_route","not_source_verified"
"/teekond","app/teekond/page.jsx","teekond","teekonna vaatamine ja teekonnaobjekti töövood","candidate_from_route","not_source_verified"
"/teekond/:id","app/teekond/[id]/page.jsx","teekond","teekonna vaatamine ja teekonnaobjekti töövood","candidate_from_route","not_source_verified"
"/teenusekaart","app/teenusekaart/page.jsx","teenused ja teenusekaart","teenuste otsing, teenuseosutaja profiil ja teenusepäevik","candidate_from_route","not_source_verified"
"/teenuseprofiil","app/teenuseprofiil/page.jsx","teenused ja teenusekaart","teenuste otsing, teenuseosutaja profiil ja teenusepäevik","candidate_from_route","not_source_verified"
"/teenuspaevik","app/teenuspaevik/page.jsx","teenused ja teenusekaart","teenuste otsing, teenuseosutaja profiil ja teenusepäevik","candidate_from_route","not_source_verified"
"/dokreziim","app/dokreziim/page.js","tehniline või abipind","spetsiaalne abipind; täpne kasutus tuleb lähtekoodist kontrollida","candidate_from_route","not_source_verified"
"/logo-eksport","app/logo-eksport/page.jsx","tehniline või abipind","spetsiaalne abipind; täpne kasutus tuleb lähtekoodist kontrollida","candidate_from_route","not_source_verified"
"/tooheaolu","app/tooheaolu/page.jsx","tööheaolu","tööheaolu tööriistad, piloot ja tulemused","candidate_from_route","not_source_verified"
"/tooheaolu/:tool","app/tooheaolu/[tool]/page.jsx","tööheaolu","tööheaolu tööriistad, piloot ja tulemused","candidate_from_route","not_source_verified"
"/tooheaolu/piloot","app/tooheaolu/piloot/page.jsx","tööheaolu","tööheaolu tööriistad, piloot ja tulemused","candidate_from_route","not_source_verified"
"/toolaud","app/toolaud/page.jsx","töölaud","kasutaja töölaud ja põhitegevuste avamine","candidate_from_route","not_source_verified"
"/toolaud/juhtumitoo","app/toolaud/juhtumitoo/page.jsx","töölaud","kasutaja töölaud ja põhitegevuste avamine","candidate_from_route","not_source_verified"
"/toolaud/kiireloomuline-abi","app/toolaud/kiireloomuline-abi/page.jsx","töölaud","kasutaja töölaud ja põhitegevuste avamine","candidate_from_route","not_source_verified"
"/toolaud/kovisioon","app/toolaud/kovisioon/page.jsx","töölaud","kasutaja töölaud ja põhitegevuste avamine","candidate_from_route","not_source_verified"
"/toolaud/tooheaolu","app/toolaud/tooheaolu/page.jsx","töölaud","kasutaja töölaud ja põhitegevuste avamine","candidate_from_route","not_source_verified"
"/vestlus","app/vestlus/page.js","vestlus","vestluse alustamine, sõnumid, ajalugu ja allikad","candidate_from_route","not_source_verified"
"/valitoo","app/valitoo/page.jsx","välitöö","välitöö külastused, kontrollid ja üleandmine","candidate_from_route","not_source_verified"
"/valitoo/:visitId","app/valitoo/[visitId]/page.jsx","välitöö","välitöö külastused, kontrollid ja üleandmine","candidate_from_route","not_source_verified"
