token,layer,definitions,distinctValues,usages,files,values
--documents-agent-composer-bg-hover,feature-alias,13,8,1,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"rgba(34, 34, 34, 0.76) | rgba(14, 20, 32, 0.5) | color-mix(in srgb, var(--documents-glass-surface) 98%, transparent) | rgba(255, 255, 255, 0.985) | color-mix(in srgb, var(--documents-glass-surface) 100%, transparent) | var(--documents-agent-composer-bg) | color-mix(in srgb, var(--documents-glass-surface) 95%, transparent) | var(--documents-glass-surface)"
--documents-agent-thread-bg,feature-alias,13,8,3,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"rgba(24, 24, 24, 0.7) | rgba(8, 14, 24, 0.72) | color-mix(in srgb, var(--documents-glass-surface) 90%, transparent) | rgba(255, 255, 255, 0.96) | color-mix(in srgb, var(--documents-glass-surface) 96%, transparent) | color-mix(in srgb, var(--documents-glass-surface) 92%, transparent) | color-mix(in srgb, var(--documents-glass-surface) 84%, transparent) | var(--documents-glass-surface)"
--documents-muted-bg,feature-alias,13,8,0,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"rgba(34, 34, 34, 0.62) | rgba(9, 14, 24, 0.5) | color-mix(in srgb, var(--panel-secondary-bg) 94%, transparent) | rgba(248, 247, 245, 0.87) | rgba(226, 217, 208, 0.82) | color-mix(in srgb, rgba(10, 16, 28, 0.72) 90%, rgba(18, 30, 50, 0.42) 10%) | color-mix(in srgb, var(--documents-glass-surface) 80%, transparent) | var(--documents-glass-surface)"
--rail-tooltip-border,unknown,12,8,2,app/styles/features/chat/shell.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css,"var(--chat-invite-list-border, transparent) | rgba(255, 255, 255, 0.16) | rgba(150, 180, 218, 0.13) | rgba(248, 253, 255, 0.08) | rgba(214, 214, 214, 0.11) | rgba(255, 234, 0, 0.72) | var(--subpage-card-border) | var(--chat-invite-list-border)"
--rail-tooltip-shadow,unknown,12,8,6,app/styles/features/chat/shell.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css,"var(--chat-invite-shadow, 0 12px 24px rgba(82, 50, 46, 0.08)) | var(--btn-primary-shadow) | 0 12px 26px rgba(2, 6, 16, 0.24) | 0 12px 26px rgba(0, 0, 0, 0.22) | 0 10px 22px rgba(7, 7, 7, 0.16) | none | var(--subpage-card-shadow) | var(--chat-invite-shadow)"
--seg-card-shadow-hover,component-or-semantic,12,8,14,app/styles/features/chat/analysis-touch-controls.css | app/styles/features/chat/hc.css | app/styles/features/documents/ui.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/tokens.css,"var(--seg-card-shadow) | var(--btn-primary-shadow-hover) | none | var(--input-shadow-hover) | 0 0 0 1px rgba(var(--hc-accent-rgb), 0.46) | 0 6px 13px rgba(15, 23, 42, 0.09) | var(--mid-unified-surface-shadow) | var(--seg-card-shadow) !important"
--policy-content-fade-bottom,unknown,10,8,0,app/styles/features/policy/mobile.css | app/styles/features/policy/pages.css,"clamp(3.7rem, 7vh, 4.9rem) | clamp(3.9rem, 7.2vh, 5rem) | clamp(3.5rem, 6.6vh, 4.7rem) | clamp(4rem, 7.4vh, 5.2rem) | clamp(4.4rem, 8.2vh, 5.8rem) | clamp(4.8rem, 8.7vh, 6.2rem) | clamp(4.1rem, 7.6vh, 5.4rem) | clamp(4.6rem, 8.6vh, 6rem)"
--policy-content-fade-top-open,unknown,10,8,0,app/styles/features/policy/mobile.css | app/styles/features/policy/pages.css,"clamp(0.42rem, 0.95vh, 0.7rem) | clamp(0.44rem, 1vh, 0.72rem) | clamp(0.36rem, 0.85vh, 0.62rem) | clamp(0.48rem, 1vh, 0.72rem) | clamp(0.55rem, 1.15vh, 0.9rem) | clamp(0.58rem, 1.2vh, 0.95rem) | clamp(0.48rem, 1.05vh, 0.8rem) | clamp(0.62rem, 1.25vh, 1rem)"
--chat-rail-tooltip-bg,feature-alias,9,8,13,app/styles/features/chat/shell.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css,"var(--mono-tooltip-surface, var(--mono-floating-surface, rgba(38, 38, 38, 0.72))) | var(--chat-card-surface-night-flat-bg) | rgb(26, 29, 34) | var(--chat-tools-panel-bg) | rgb(249, 249, 248) | var(--mid-utility-panel-bg) | var(--mono-tooltip-surface) | rgb(18, 26, 40)"
--documents-soft-shadow,feature-alias,9,8,7,app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"none | var(--documents-glass-shadow) | 0 4px 14px rgba(15, 23, 42, 0.05) | 0 5px 14px rgba(26, 18, 18, 0.08) | var(--glass-shell-shadow, 0 18px 38px rgba(2, 6, 14, 0.3)) | 0 10px 24px rgba(0, 0, 0, 0.16) | 0 8px 20px rgba(15, 23, 42, 0.055) | 0 8px 20px rgba(88, 66, 54, 0.08)"
--documents-strong-shadow,feature-alias,9,8,4,app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"none | var(--documents-glass-shadow) | 0 6px 18px rgba(15, 23, 42, 0.06) | 0 7px 18px rgba(26, 18, 18, 0.1) | var(--glass-shell-shadow, 0 18px 38px rgba(2, 6, 14, 0.3)) | 0 12px 28px rgba(0, 0, 0, 0.2) | 0 10px 24px rgba(15, 23, 42, 0.065) | 0 10px 24px rgba(88, 66, 54, 0.1)"
--card-logo-back,unknown,8,8,0,app/styles/tokens.css,"clamp(2.65rem, calc(var(--card-size) * 0.25), 7rem) | clamp(2.9rem, calc(var(--card-size) * 0.25), 7.5rem) | clamp(3.1rem, calc(var(--card-size) * 0.25), 8.2rem) | clamp(3.8rem, calc(var(--card-size) * 0.25), 9.2rem) | calc( clamp(2.65rem, calc(var(--card-size) * 0.25), 7rem) * 0.91525 ) | calc( clamp(2.9rem, calc(var(--card-size) * 0.25), 7.5rem) * 0.91525 ) | calc( clamp(3.1rem, calc(var(--card-size) * 0.25), 8.2rem) * 0.91525 ) | calc( clamp(3.8rem, calc(var(--card-size) * 0.25), 9.2rem) * 0.91525 )"
--card-logo-front-left,unknown,8,8,0,app/styles/tokens.css,"clamp(4.2rem, calc(var(--card-size) * 0.48), 11.4rem) | clamp( 4.8rem, calc(var(--card-size) * 0.48), 12.8rem ) | clamp( 5.2rem, calc(var(--card-size) * 0.48), 13.8rem ) | clamp( 6.2rem, calc(var(--card-size) * 0.48), 12.9rem ) | calc( clamp(4.2rem, calc(var(--card-size) * 0.48), 11.4rem) * 0.91525 ) | calc( clamp(4.8rem, calc(var(--card-size) * 0.48), 12.8rem) * 0.91525 ) | calc( clamp(5.2rem, calc(var(--card-size) * 0.48), 13.8rem) * 0.91525 ) | calc( clamp(6.2rem, calc(var(--card-size) * 0.48), 12.9rem) * 0.91525 )"
--card-logo-front-right,unknown,8,8,0,app/styles/tokens.css,"clamp(3.9rem, calc(var(--card-size) * 0.4), 10.6rem) | clamp( 4.3rem, calc(var(--card-size) * 0.4), 11.6rem ) | clamp( 4.7rem, calc(var(--card-size) * 0.4), 12.4rem ) | clamp( 5.7rem, calc(var(--card-size) * 0.4), 11.4rem ) | calc( clamp(3.9rem, calc(var(--card-size) * 0.4), 10.6rem) * 0.91525 ) | calc( clamp(4.3rem, calc(var(--card-size) * 0.4), 11.6rem) * 0.91525 ) | calc( clamp(4.7rem, calc(var(--card-size) * 0.4), 12.4rem) * 0.91525 ) | calc( clamp(5.7rem, calc(var(--card-size) * 0.4), 11.4rem) * 0.91525 )"
--documents-agent-thread-shadow,feature-alias,8,8,1,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"var(--subpage-card-shadow) | none | var(--documents-glass-shadow) | 0 4px 14px rgba(15, 23, 42, 0.05) | 0 5px 14px rgba(18, 14, 16, 0.08) | var(--glass-shell-shadow, 0 18px 38px rgba(2, 6, 14, 0.24)) | 0 12px 28px rgba(15, 23, 42, 0.08) | 0 14px 30px rgba(88, 66, 54, 0.12)"
--input-surface-overlay-focus,component-or-semantic,8,8,1,app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,"inset 0 0 0 999px rgba(var(--dark-white-rgb), 0.04) | inset 0 0 0 999px rgba(255, 255, 255, 0) | inset 0 0 0 999px rgba(255, 255, 255, 0.078) | inset 0 0 0 999px rgba(var(--mid-white-rgb), 0) | inset 0 0 0 999px rgba(255, 255, 255, 0.1) | inset 0 0 0 999px rgba(230, 230, 230, 0.018) | inset 0 0 0 999px rgba(222, 236, 255, 0.06) | var(--input-surface-overlay-hover)"
--input-surface-overlay-hover,component-or-semantic,8,8,2,app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,"inset 0 0 0 999px rgba(var(--dark-white-rgb), 0.02) | inset 0 0 0 999px rgba(255, 255, 255, 0) | inset 0 0 0 999px rgba(255, 255, 255, 0.065) | inset 0 0 0 999px rgba(var(--mid-white-rgb), 0) | inset 0 0 0 999px rgba(255, 255, 255, 0.08) | inset 0 0 0 999px rgba(230, 230, 230, 0.012) | inset 0 0 0 999px rgba(222, 236, 255, 0.022) | inset 0 0 0 999px rgba(255, 255, 255, 0.03)"
--subpage-card-text,component-or-semantic,8,8,20,app/styles/features/documents/workspace.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,"var(--documents-page-text) | var(--pt-120) | var(--hc-accent) | #334155 | #2f3a4a | rgba(245, 245, 245, 0.94) | rgba(234, 238, 245, 0.94) | var( --glass-modal-text, var(--glass-surface-text, #f2f2f2) )"
--btn-primary-text,component-or-semantic,20,7,12,app/styles/features/chat/hc.css | app/styles/features/chat/shell.css | app/styles/features/documents/ui.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/tokens.css | components/covision/CovisionPage.module.css | components/wellbeing/WellbeingPage.module.css,"var(--hc-accent) | var(--hc-accent, #ffea00) | rgba(31, 41, 55, 0.92) | #2f3a4a | var(--mono-icon) | rgba(248, 252, 255, 0.96) | var(--wellbeing-primary-button-text)"
--glass-shell-shadow,component-or-semantic,15,7,35,app/styles/features/invite/mobile.css | app/styles/mobile/foundations.css | app/styles/mobile/interaction-surfaces.css | app/styles/mobile/panel-surfaces/shadows.css | app/styles/shared/mobile-workspace-shadow-surfaces.css | app/styles/shared/workspace-guide.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/utilities/glass-ring-stable.shared.css | components/chat/WorkspacePanel.module.css,"none !important | none | var(--glass-ring-glow-dark) | 0 0 18px rgba(255, 234, 0, 0.22), 0 0 34px rgba(255, 234, 0, 0.12), 0 12px 22px -16px rgba(255, 234, 0, 0.2) | 0 18px 40px rgba(0, 0, 0, 0.16) | var(--mid-round-shell-shadow) | 0 24px 48px rgba(12, 7, 6, 0.34)"
--opaque-panel-bg,unknown,15,7,19,app/styles/features/documents/mono.css | app/styles/features/documents/workspace.css | app/styles/mobile/scroll-panels/glass-card.css | app/styles/shared/glass-subpage.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,"var(--mono-tooltip-surface) | rgba(31, 33, 38, 0.99) | var(--mobile-common-glass-surface-bg) | var(--subpage-card-bg) | var(--workspace-elevated-card-bg) | var(--chat-card-surface-night-standard-bg) | var(--input-flat-bg)"
--opaque-panel-bg-hover,unknown,15,7,14,app/styles/features/documents/mono.css | app/styles/features/documents/workspace.css | app/styles/mobile/scroll-panels/glass-card.css | app/styles/shared/glass-subpage.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,var(--mono-tooltip-surface-hover) | var(--opaque-panel-bg) | var(--mobile-common-glass-surface-bg) | var(--subpage-card-bg-hover) | var(--workspace-elevated-card-bg) | var(--chat-card-surface-night-standard-flat-bg) | var(--input-flat-bg-hover)
--documents-surface-panel-bg,feature-alias,14,7,14,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css | app/styles/features/invite/mobile.css,"var(--glass-ring-surface-bg) | rgba(9, 14, 24, 0.62) | var(--documents-glass-surface) | var(--documents-panel-bg) | transparent | var(--documents-glass-sheen), var(--documents-glass-surface) | transparent !important"
--wellbeing-dropdown-bg,feature-alias,14,7,2,components/wellbeing/WellbeingPage.module.css,"rgb(22, 27, 36) | rgb(250, 246, 243) | rgb(223, 211, 203) | rgb(30, 33, 38) | rgb(18, 26, 40) | rgb(28, 28, 28) | rgb(9, 14, 24)"
--wellbeing-dropdown-bg-hover,feature-alias,14,7,0,components/wellbeing/WellbeingPage.module.css,"rgb(31, 38, 50) | rgb(255, 255, 255) | rgb(234, 224, 217) | rgb(39, 42, 48) | rgb(29, 41, 59) | rgb(38, 38, 38) | rgb(36, 34, 16)"
--wellbeing-dropdown-item-bg,feature-alias,14,7,2,components/wellbeing/WellbeingPage.module.css,"rgb(31, 38, 50) | rgb(255, 255, 255) | rgb(239, 230, 224) | rgb(39, 42, 48) | rgb(29, 41, 59) | rgb(38, 38, 38) | #000"
--wellbeing-dropdown-item-bg-hover,feature-alias,14,7,2,components/wellbeing/WellbeingPage.module.css,"rgb(38, 46, 60) | rgb(248, 244, 241) | rgb(248, 241, 237) | rgb(47, 51, 59) | rgb(37, 52, 74) | rgb(48, 48, 48) | #111"
--wellbeing-dropdown-selected-bg,feature-alias,14,7,2,components/wellbeing/WellbeingPage.module.css,"rgb(8, 12, 18) | rgba(26, 31, 40, 0.92) | rgba(31, 38, 50, 0.9) | rgb(10, 13, 18) | rgb(8, 14, 24) | rgb(10, 10, 10) | var(--hc-accent, #ffea00)"
--documents-agent-composer-bg,feature-alias,13,7,7,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"rgba(28, 28, 28, 0.72) | rgba(14, 20, 32, 0.42) | color-mix(in srgb, var(--documents-glass-surface) 96%, transparent) | rgba(255, 255, 255, 0.97) | color-mix(in srgb, var(--documents-glass-surface) 98%, transparent) | color-mix(in srgb, var(--documents-glass-surface) 90%, transparent) | var(--documents-glass-surface)"
--documents-agent-stage-bg,feature-alias,13,7,0,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"rgba(27, 27, 27, 0.68) | rgba(9, 14, 24, 0.56) | color-mix(in srgb, var(--documents-glass-surface) 92%, transparent) | rgba(252, 251, 249, 0.86) | color-mix(in srgb, var(--documents-glass-surface) 94%, transparent) | color-mix(in srgb, var(--documents-glass-surface) 88%, transparent) | var(--documents-glass-surface)"
--documents-card-bg,feature-alias,13,7,5,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"rgba(30, 30, 30, 0.64) | rgba(9, 14, 24, 0.62) | var(--documents-glass-surface) | color-mix(in srgb, var(--documents-glass-surface) 98%, transparent) | rgba(255, 255, 255, 0.92) | rgba(231, 223, 215, 0.88) | color-mix(in srgb, var(--documents-glass-surface) 92%, transparent)"
--documents-subpanel-bg,feature-alias,13,7,2,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"rgba(28, 28, 28, 0.64) | rgba(9, 14, 24, 0.58) | var(--documents-glass-surface) | color-mix(in srgb, var(--documents-glass-surface) 96%, transparent) | rgba(252, 251, 249, 0.9) | rgba(237, 229, 221, 0.86) | color-mix(in srgb, var(--documents-glass-surface) 88%, transparent)"
--documents-content-bg,feature-alias,12,7,2,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"rgba(30, 30, 30, 0.62) | rgba(9, 14, 24, 0.6) | color-mix(in srgb, var(--documents-glass-surface) 94%, transparent) | rgba(252, 251, 249, 0.9) | rgba(230, 222, 214, 0.86) | color-mix(in srgb, var(--documents-glass-surface) 86%, transparent) | var(--documents-glass-surface)"
--documents-glass-surface,feature-alias,12,7,93,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"var(--glass-ring-surface-bg) | var(--glass-ring-surface-bg, var(--glass-surface-bg, rgba(15, 14, 17, 0.35))) | var(--glass-ring-surface-bg, var(--glass-surface-bg, rgba(0, 0, 0, 0.25))) | rgba(255, 255, 255, 0.92) | rgba(236, 228, 220, 0.9) | rgba(12, 18, 27, 0.58) | rgba(13, 20, 32, 0.62)"
--orbit-button-shadow,unknown,12,7,9,app/styles/features/profile/hc.css | app/styles/features/profile/mono.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css,"0 0 10px rgba(var(--hc-accent-rgb), 0.16), 0 8px 12px -5px rgba(var(--hc-accent-rgb), 0.3), inset 0 0 0 1px rgba(var(--hc-accent-rgb), 0.065), inset 0 1px 0 rgba(255, 250, 180, 0.035) | var(--orbit-keypad-shadow) | inset 0 0 0 1px rgba(var(--mono-mid-rgb), 0.04), inset 0 1px 0 rgba(var(--mono-mid-rgb), 0.03) | 0 10px 18px rgba(0, 0, 0, 0.18) | 0 6px 10px rgba(0, 0, 0, 0.24), inset 0 0 0 var(--pin-border-w) rgba(255, 255, 255, 0.5), inset 0 1px 0 rgba(255, 255, 255, 0.64), inset 0 -1px 0 rgba(0, 0, 0, 0.12) | 0 7px 12px rgba(0, 0, 0, 0.22) | inset 0 0 0 1px rgba(255, 255, 255, 0.035), inset 0 1px 0 rgba(255, 255, 255, 0.025)"
--seg-card-bg,component-or-semantic,12,7,31,app/styles/features/chat/hc.css | app/styles/features/documents/ui.css | app/styles/shared/register.css | app/styles/shared/ui-glow.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/tokens.css | components/ui/BorderGlow.module.css,"var(--btn-primary-bg) | rgba(14, 20, 32, 0.42) | rgba(255, 234, 0, 0.1) | rgba(255, 234, 0, 0.1) !important | var(--form-surface) | rgba(255, 255, 255, 0.82) | var(--mid-unified-surface-bg)"
--policy-content-fade-bottom-open,unknown,10,7,0,app/styles/features/policy/mobile.css | app/styles/features/policy/pages.css,"clamp(4.8rem, 8.8vh, 6.4rem) | clamp(4.9rem, 9vh, 6.5rem) | clamp(4.6rem, 8.5vh, 6rem) | clamp(5.1rem, 9.2vh, 6.6rem) | clamp(5.8rem, 10.8vh, 7.6rem) | clamp(5.4rem, 10vh, 7rem) | clamp(5.8rem, 10.4vh, 7.4rem)"
--seg-card-text-hover,component-or-semantic,10,7,5,app/styles/features/chat/hc.css | app/styles/features/documents/ui.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/tokens.css,var(--hc-accent) | var(--pt-100) | #8f5550 | var(--title-color) | #81504b | var(--mono-title-soft) | #d08a8a
--chat-tools-panel-bg,feature-alias,9,7,8,app/styles/features/chat/shell.css | app/styles/features/documents/workspace.css | app/styles/theme/dark.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css,"var(--mono-tooltip-surface, var(--rail-tooltip-bg)) | rgba(31, 33, 38, 0.99) | rgb(26, 29, 34) | rgb(18, 26, 40) | rgb(249, 249, 248) | var(--mid-utility-panel-bg) | var(--mono-tooltip-surface)"
--pin-gloss-op,unknown,9,7,1,app/styles/features/profile/hc.css | app/styles/features/profile/mono.css | app/styles/theme/mid.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css,0 !important | 0.08 | 0.28 | 0.2 | 0.09 | 0.06 | 0.1
--documents-chip-text,feature-alias,8,7,1,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"var(--mono-text) | var(--hc-accent) | color-mix(in srgb, var(--glass-modal-text) 88%, transparent) | #465161 | #495465 | rgba(238, 244, 255, 0.95) | rgba(238, 244, 255, 0.94)"
--documents-surface-panel-border,feature-alias,8,7,0,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"rgba(var(--mono-mid-rgb), 0.11) | rgba(255, 234, 0, 0.54) | var(--documents-panel-border) | rgba(255, 255, 255, 0.06) | rgba(190, 196, 208, 0.28) | rgba(176, 155, 141, 0.24) | rgba(133, 164, 216, 0.16)"
--orbit-button-shadow-center-hover,unknown,8,7,4,app/styles/features/profile/hc.css | app/styles/features/profile/mono.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css,"0 0 17px rgba(var(--hc-accent-rgb), 0.48), 0 0 32px rgba(var(--hc-accent-rgb), 0.28), 0 0 46px rgba(var(--hc-accent-rgb), 0.14), inset 0 0 0 1px rgba(var(--hc-accent-rgb), 0.2), inset 0 1px 0 rgba(255, 250, 180, 0.09) | 0 0 28px rgba(var(--mono-light-rgb), 0.22), inset 0 0 0 1px rgba(var(--mono-mid-rgb), 0.08), inset 0 1px 0 rgba(var(--mono-mid-rgb), 0.05) | 0 11px 19px rgba(0, 0, 0, 0.28) | 0 0 28px rgba(255, 255, 255, 0.38), inset 0 0 0 1px rgba(255, 255, 255, 0.07), inset 0 1px 0 rgba(255, 255, 255, 0.05) | 0 0 28px rgba(255, 255, 255, 0.38), var(--orbit-keypad-shadow) | 0 0 18px rgba(255, 255, 255, 0.22), 0 2px 5px rgba(2, 6, 16, 0.11), 0 1px 1px rgba(15, 23, 42, 0.065), inset 0 0 0 var(--pin-border-w) rgba(30, 40, 58, 0.5), inset 0 1px 0 rgba(255, 255, 255, 0.026), inset 0 -1px 0 rgba(2, 6, 16, 0.13) | 0 0 17px rgba(255, 234, 0, 0.48), 0 0 32px rgba(255, 234, 0, 0.28), 0 0 46px rgba(255, 234, 0, 0.14), inset 0 0 0 1px rgba(255, 234, 0, 0.2), inset 0 1px 0 rgba(255, 250, 180, 0.09)"
--seg-radio-border,component-or-semantic,8,7,0,app/styles/features/chat/hc.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/tokens.css,"rgba(var(--hc-accent-rgb), 0.72) | rgba(var(--hc-accent-rgb), 0.7) | rgba(255, 234, 0, 0.78) | rgba(122, 58, 56, 0.24) | rgba(255, 255, 255, 0.56) | rgba(214, 214, 214, 0.22) | rgba(248, 253, 255, 0.28)"
--btn-primary-focus-ring-color,component-or-semantic,7,7,12,app/styles/features/chat/shell.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/mono.css | app/styles/theme/night.css | app/styles/tokens.css,"rgba(255, 234, 0, 0.42) | var(--hc-focus-ring) | rgba(197, 113, 113, 0.24) | rgba(147, 111, 105, 0.22) | rgba(230, 230, 230, 0.24) | rgba(140, 180, 235, 0.35) | rgba(197, 113, 113, 0.28)"
--documents-agent-composer-shadow,feature-alias,7,7,2,app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"none | var(--documents-glass-shadow) | 0 4px 12px rgba(15, 23, 42, 0.05) | 0 5px 14px rgba(18, 14, 16, 0.08) | var(--glass-shell-shadow, 0 18px 38px rgba(2, 6, 14, 0.24)) | 0 12px 26px rgba(15, 23, 42, 0.075) | 0 8px 18px rgba(88, 66, 54, 0.09), 0 2px 6px rgba(88, 66, 54, 0.12)"
--documents-agent-composer-shadow-hover,feature-alias,7,7,1,app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"none | var(--documents-glass-shadow) | 0 5px 14px rgba(15, 23, 42, 0.06) | 0 6px 16px rgba(18, 14, 16, 0.09) | var(--glass-shell-shadow, 0 18px 38px rgba(2, 6, 14, 0.24)) | 0 14px 30px rgba(15, 23, 42, 0.09) | 0 10px 22px rgba(88, 66, 54, 0.1), 0 3px 8px rgba(88, 66, 54, 0.14)"
--documents-chip-border,feature-alias,7,7,3,app/styles/features/documents/mono.css | app/styles/features/documents/ui.css | app/styles/features/documents/workspace.css,"rgba(var(--mono-mid-rgb), 0.14) | rgba(255, 234, 0, 0.62) | color-mix(in srgb, var(--panel-secondary-border) 62%, transparent) | rgba(148, 163, 184, 0.24) | rgba(148, 180, 255, 0.1) | rgba(255, 255, 255, 0.06) | rgba(133, 164, 216, 0.16)"
--pre-inquiry-dropdown-active-bg,unknown,7,7,1,app/styles/features/service-map/desktop/base.css,"color-mix(in srgb, var(--workspace-feature-accent) 14%, var(--workspace-feature-surface-hover)) | rgba(122, 58, 56, 0.12) | rgba(122, 58, 56, 0.16) | rgba(197, 113, 113, 0.18) | rgba(140, 180, 235, 0.18) | rgba(214, 214, 214, 0.14) | var(--hc-accent, #ffea00)"
--pre-inquiry-dropdown-bg,unknown,7,7,1,app/styles/features/service-map/desktop/base.css,"var(--workspace-feature-field-bg) | rgba(252, 249, 247, 0.94) | rgba(235, 226, 222, 0.82) | rgba(31, 33, 38, 0.88) | rgba(15, 24, 38, 0.9) | rgba(38, 38, 38, 0.92) | #000"
--pre-inquiry-dropdown-bg-hover,unknown,7,7,1,app/styles/features/service-map/desktop/base.css,"var(--workspace-feature-field-bg-hover) | rgba(255, 252, 250, 0.98) | rgba(241, 232, 228, 0.9) | rgba(39, 42, 49, 0.94) | rgba(19, 30, 46, 0.96) | rgba(48, 48, 48, 0.96) | #111"
--pre-inquiry-dropdown-border,unknown,7,7,1,app/styles/features/service-map/desktop/base.css,"var(--workspace-feature-field-border) | 1px solid rgba(122, 58, 56, 0.14) | 1px solid rgba(122, 58, 56, 0.16) | 1px solid rgba(255, 255, 255, 0.11) | 1px solid rgba(170, 204, 245, 0.2) | 1px solid rgba(214, 214, 214, 0.16) | 2px solid var(--hc-accent, #ffea00)"
--pre-inquiry-dropdown-item-bg-hover,unknown,7,7,1,app/styles/features/service-map/desktop/base.css,"var(--workspace-feature-surface-hover) | rgba(247, 240, 237, 0.98) | rgba(229, 217, 212, 0.92) | rgba(43, 47, 56, 0.96) | rgba(23, 38, 58, 0.98) | rgba(49, 49, 49, 0.98) | #111"
--pre-inquiry-dropdown-menu-bg,unknown,7,7,3,app/styles/features/service-map/desktop/base.css,"var(--opaque-panel-bg, var(--workspace-feature-surface-strong)) | rgba(255, 252, 250, 0.99) | rgba(241, 232, 228, 0.98) | rgba(26, 28, 34, 0.99) | rgba(11, 20, 34, 0.99) | rgba(24, 24, 24, 0.99) | #000"
--pre-inquiry-dropdown-menu-border,unknown,7,7,1,app/styles/features/service-map/desktop/base.css,"var(--workspace-feature-border-strong) | rgba(122, 58, 56, 0.18) | rgba(122, 58, 56, 0.2) | rgba(255, 255, 255, 0.12) | rgba(170, 204, 245, 0.22) | rgba(214, 214, 214, 0.18) | var(--hc-accent, #ffea00)"
